ID,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Fees,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Score1,Score2,Utility,Bad
A179,108,950,389,284,0,20,20,200,33,0,56,7,0,421.601811,889,0.299178947,0
A180,107,350,228,211,0,20,20,25,0,0,5,4,0,856.7886404,824,0.604085714,0
A181,107,750,746,733,0,22,22,30,0,0,5,12,0,820.508316,700,0.977626667,0
A182,107,400,6,6,0,6,6,6,0,0,6,0,0,165.6356128,1000,0.015,0
A183,106,350,23,8,0,8,8,20,0,0,5,1,0,869.3388693,991,0.024142857,0
A184,97,350,255,304,0,20,20,35,23,0,56,5,0,489.2622856,752,0.867342857,0
A185,106,400,365,387,0,20,20,20,27,0,6,8,0,8.135613362,718,0.96625,0
A186,106,250,285,234,0,20,20,60,0,0,5,4,0,463.1650919,710,0.93756,0
A187,106,400,366,374,0,25,25,25,18,0,6,9,0,978.1428474,743,0.935425,0
A188,106,250,232,211,0,20,20,30,0,0,5,4,0,665.297637,748,0.84208,0
A189,105,350,19,6,0,6,6,19,0,0,6,0,0,373.0266471,976,0.017142857,0
A190,105,550,165,92,0,25,25,80,0,0,5,2,0,951.6110948,776,0.167327273,0
A191,104,250,12,6,0,6,6,12,0,0,6,0,0,323.4132326,996,0.024,0
A192,105,350,299,323,0,20,20,25,40,0,3,6,0,720.4612413,728,0.922314286,0
A193,94,350,289,261,0,20,20,50,10,0,6,5,0,948.6165495,784,0.744428571,0
A194,104,250,217,206,0,25,25,30,10,0,5,4,0,325.6644655,740,0.82264,0
A195,104,350,269,177,0,25,25,100,0,0,5,3,0,131.8230402,861,0.505828571,0
A196,97,350,312,293,0,20,20,30,0,0,6,5,0,726.8130245,734,0.837857143,0
A197,103,350,355,306,0,20,20,65,5,0,6,5,0,795.6371191,699,0.873571429,0
A198,104,550,205,107,0,20,20,105,0,0,5,2,0,796.1641828,929,0.1952,0
A199,104,450,418,417,0,20,20,20,7,0,5,7,0,124.1606488,735,0.925555556,0
A200,103,350,310,290,0,20,20,51,20,0,5,5,0,824.807578,764,0.827171429,0
A201,103,400,296,5,0,5,5,374,79,0,5,0,0,316.492779,972,0.012375,0
A202,103,400,128,228,0,20,20,130,225,0,5,0,0,931.7379548,937,0.57065,0
A203,103,350,317,290,0,20,20,300,264,0,5,4,0,663.3168934,,0.827628571,0
A204,103,850,496,380,0,20,20,150,20,0,5,10,0,549.9422177,776,0.447635294,0
A205,103,750,767,772,22,24,46,40,0,23,5,18,0,958.0065357,674,1.02964,0
A206,103,350,301,291,0,20,20,20,0,0,5,5,0,496.0968683,758,0.830742857,0
A207,103,550,486,475,0,20,20,50,27,0,5,8,0,805.5649474,720,0.864418182,0
A208,102,400,442,389,0,20,20,85,19,0,6,7,0,542.1873407,699,0.97155,0
A209,102,450,112,55,0,20,20,219,157,0,5,0,0,872.3971112,1000,0.1222,0
A210,102,400,418,391,0,20,20,40,0,0,6,7,0,92.58470854,709,0.977325,0
A211,102,450,409,397,0,20,20,25,0,0,6,7,0,544.2959307,742,0.881511111,0
A212,102,500,448,462,0,20,20,20,25,0,0,9,0,731.3446404,732,0.92414,0
A213,101,950,874,772,0,24,24,102,0,0,6,14,20,989.0874207,749,0.812263158,0
A214,102,350,286,365,15,20,35,40,0,103,6,10,0,164.0796647,704,1.043371429,0
A215,102,450,444,462,12,20,32,20,20,0,10,8,0,444.1698098,691,1.026777778,0
A216,102,500,10,30,0,20,20,10,25,0,5,0,0,847.1717889,796,0.0599,0
A217,102,400,359,268,0,20,20,150,47,0,6,7,0,410.2496589,791,0.670625,0
A218,101,400,374,281,0,20,20,155,50,0,6,7,0,702.5837965,790,0.70365,0
A219,99,350,369,346,0,25,25,50,15,0,6,6,0,944.6008905,691,0.989628571,0
A220,90,375,326,317,0,20,20,20,0,0,6,5,0,318.1372504,834,0.845653333,0
A221,101,500,418,424,0,20,20,25,18,0,6,7,0,392.9551609,707,0.8479,0
A222,101,400,6,-6,0,0,0,18,0,0,6,0,0,12.00889633,990,-0.015,0
A223,98,350,342,333,0,20,20,20,0,0,6,6,0,246.7658659,721,0.952828571,0
A224,101,500,411,373,0,20,20,50,0,0,6,7,0,248.7081102,781,0.74678,0
A225,101,300,159,303,3,20,23,50,184,0,6,4,0,976.385118,710,1.0084,0
A226,101,600,579,601,1,25,26,35,37,0,6,14,0,608.1735244,707,1.001983333,0
A227,101,"1,000",822,798,0,24,24,200,155,0,6,15,0,827.6484586,713,0.79755,0
A228,100,400,396,6,0,6,6,396,0,0,6,0,0,165.7441608,1000,0.015,0
A229,100,350,322,303,0,20,20,30,0,0,6,5,0,911.5281523,747,0.866228571,0
A230,100,400,233,343,0,20,20,30,128,0,6,6,0,930.2862631,758,0.858325,0
A231,100,300,279,303,3,20,23,24,36,0,6,6,0,466.258562,710,1.010866667,0
A232,100,700,414,402,0,20,20,25,0,0,6,7,0,571.743017,842,0.573628571,0
A233,100,250,-88,-82,0,0,0,0,0,0,6,0,0,295.0603751,985,-0.328,0
A234,100,400,12,-2,0,0,0,20,0,0,6,0,0,59.54968151,997,-0.005,0
A235,100,450,429,412,0,20,20,65,31,0,10,8,0,859.4094216,736,0.915577778,0
A236,90,350,212,297,0,20,20,25,100,0,6,4,0,588.9478992,785,0.848257143,0
A237,99,500,477,476,0,25,25,25,10,0,6,8,0,285.9539765,719,0.95194,0
A238,100,400,368,402,2,20,22,28,0,0,56,6,0,277.5483331,716,1.004925,0
A239,100,450,129,174,0,25,25,75,111,0,6,3,0,762.2005977,917,0.387422222,0
A240,99,300,242,204,0,25,25,50,47,0,6,4,45,215.3307327,730,0.6815,0
A241,98,250,187,217,0,25,25,50,70,0,6,4,0,603.4801625,755,0.8682,0
A242,99,300,94,296,0,25,25,25,216,0,6,4,0,790.3678234,712,0.985966667,0
A243,83,250,185,174,0,20,20,20,0,0,6,3,0,477.0610402,705,0.6952,0
A244,97,"1,100","1,085","1,070",0,33,33,50,4,0,6,26,0,438.6982493,697,0.973118182,0
